ID, Accommodates, Bathrooms, Bedrooms, Beds, limpieza, extra, finde
3481425, 4, 1.5, 1, 2, , €10 / night after 2 guests, €90 / night
3481472, 4, 1, 1, 2, , €10 / night after 2 guests, €90 / night
3481227, 4, 1.5, 1, 2, , €10 / night after 2 guests, €90 / night
3496858, 4, 1, 2, 3, €8, No Charge, 
3495793, 2, 1, 1, 1, €10, No Charge, 
3496227, 2, 1, 1, 1, , No Charge, 
3526259, 2, 2, 1, 1, , No Charge, 
3540586, 4, 1, 2, 2, €15, €15 / night after 2 guests, 
3565847, 5, 2, 4, 4, , No Charge, 
3565379, 8, 2, 4, 4, , No Charge, 
3574150, 4, 1, 1, 3, €10, €35 / night after 2 guests, 
3588841, 2, 1, 1, 1, €5, No Charge, €42 / night
3593212, 2, 1, 1, 2, , No Charge, €35 / night
3601342, 7, 1.5, 3, 4, €30, €10 / night after 2 guests, 
3634027, 5, 1, 2, 3, €15, €10 / night after 2 guests, 
3640314, 4, 1, 1, 2, , €10 / night after 2 guests, €85 / night
3656564, 5, 2, 5, 5, , €10 / night after the first guest, 
3666687, 2, 1, 1, 1, , €25 / night after the first guest, 
3692057, 3, 1, 3, 3, €30, No Charge, 
3693515, 2, 1, 1, 1, , No Charge, 
3699492, 2, 1, Studio, 1, , , €99 / night
3696840, 5, 1.5, 4, 4, , No Charge, 
3717489, 2, 1, Studio, 1, €26, , 
3717997, 2, 1, 1, 1, €9, No Charge, €52 / night
3722844, 4, 2, 2, 3, , €20 / night after 2 guests, 
3743787, 6, 1, 3, 3, €30, €10 / night after 2 guests, 
3756933, 2, 1, 1, 1, , , 
3768356, 6, 1, 1, 3, , €20 / night after 2 guests, 
3768323, 6, 1, 1, 3, €8, €20 / night after 2 guests, 
3787104, 5, 1, 2, 3, , €15 / night after 2 guests, 
3794573, 2, 1, 1, 1, , No Charge, 
3815200, 5, 2, 3, 3, , No Charge, 
3815734, 2, 2, 1, 1, €4, , €35 / night
3817005, 2, 1, 1, 1, €10, , 
3834850, 2, 2, 1, 1, , No Charge, 
3844963, 4, 2, 2, 3, €20, €10 / night after 2 guests, 
3846483, 2, 2, 1, 2, , No Charge, 
3846398, 2, 2, 1, 1, , No Charge, 
3858753, 2, 1, 1, 2, , No Charge, 
3864429, 4, 1, 1, 1, , €15 / night after 2 guests, €105 / night
3867715, 2, 2, 1, 2, , €15 / night after the first guest, 
3871493, 4, 1, 1, 2, , €20 / night after 2 guests, €120 / night
3881462, 4, 1, 1, 2, €30, €25 / night after 2 guests, €86 / night
3887457, 4, 1, 1, 1, , €10 / night after the first guest, €50 / night
3909295, 6, 2, 3, 5, , €8 / night after 3 guests, 
3939648, 3, 1, 2, 2, €15, €10 / night after 2 guests, 
3944996, 6, 2, 3, 3, , No Charge, €88 / night
3967793, 3, 1, Studio, 1, , €20 / night after 2 guests, 
3969009, 4, 1, 1, 1, , €5 / night after 2 guests, 
3984569, 2, 1, 1, 1, , €10 / night after the first guest, 
4004845, 2, 1, 1, 1, €10, No Charge, 
4005203, 3, 1, 1, 1, €10, €10 / night after 2 guests, 
4005558, 3, 1, 1, 3, €10, €12 / night after 2 guests, 
4013711, 3, 1, 2, 3, €15, €10 / night after 2 guests, €65 / night
4018375, 6, 2, 2, 4, €30, €12 / night after 4 guests, €145 / night
4029141, 2, 2, 1, 2, , , 
4026819, 4, 1, 1, 1, , No Charge, 
4067346, 12, 2.5, 4, 7, €20, €25 / night after 4 guests, €112 / night
